,A COMPENDIUM OF PHYSICAL EXERCISE-RELATED HUMAN GENES: AN 'OMIC SCALE ANALYSIS ,,,,,,,,,,,,,,,,,,,
Ensembl Gene ID,Gene symbol,Description,Gene type,Chromosome,Band,Strand,Gene Start (bp),Gene End (bp),Linked to what type of exercise,acute/chronic,Gender,Age range,N,Analytical Method,Up-regulation,Down-regulation,Fold change,FDR,p-value,References
ENSG00000000003,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],protein_coding,X,q22.1,-1,100627109,100639991,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.21,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000001036,FUCA2,"fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:HGNC:4008]",protein_coding,6,q24.2,-1,143494811,143511690,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.29,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000001461,NIPAL3,NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],protein_coding,1,p36.11,1,24415794,24472976,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.30,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000001497,LAS1L,LAS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:25726],protein_coding,X,q12,-1,65512582,65534775,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.21,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000001626,CFTR,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:HGNC:1884]",protein_coding,7,q31.2,1,117465784,117715971,,,,,,genotyping,,,,,,"Bray et al., 2009"
ENSG00000001631,KRIT1,"KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]",protein_coding,7,q21.2,-1,92198969,92246166,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.18,0.011,<0.01,"Lindholm et al., 2014"
ENSG00000002016,RAD52,RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:9824],protein_coding,12,p13.33,-1,912077,990053,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.28,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000002834,LASP1,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],protein_coding,17,q12,1,38869859,38921770,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.30,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000003137,CYP26B1,"cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:20581]",protein_coding,2,p13.2,-1,72129238,72148038,Endurance,chronic,M,50 to 60,17,microarray,,down,-1.61,<0.10,0.05,"Mukherjee et al., 2014"
ENSG00000003393,ALS2,amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:HGNC:443],protein_coding,2,q33.1,-1,201700554,201781189,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.10,0.047,0.01,"Lindholm et al., 2014"
ENSG00000003402,CFLAR,CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876],protein_coding,2,q33.1,1,201116104,201176687,endurance,acute,,,34,qRT-PCR,up,,,,,"Tantiwong et al., 2010"
ENSG00000003509,NDUFAF7,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]",protein_coding,2,p22.2,1,37231631,37253403,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.12,0.03,<0.01,"Lindholm et al., 2014"
ENSG00000003989,SLC7A2,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:HGNC:11060]",protein_coding,8,p22,1,17497088,17570573,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.31,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000004059,ARF5,ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658],protein_coding,7,q32.1,1,127588345,127591705,endurance; endurance,"chronic,chronic",M & F; M & F,20 to 50;26 to 28,514;23,"microarray,RNA-Seq","up, up",,1.5; 1.14,1; <0.01,<0.01,"Timmons et al., 2010; Lindholm et al., 2014"
ENSG00000004399,PLXND1,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],protein_coding,3,q22.1,-1,129555175,129606818,endurance; endurance,"chronic,chronic",M & F; M & F,20 to 50;26 to 28,514;23,"microarray,RNA-Seq","up, up",,1.6; 1.45,0; <0.01,<0.01,"Timmons et al., 2010; Lindholm et al., 2014"
ENSG00000004487,KDM1A,lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],protein_coding,1,p36.12,1,23019448,23083689,endurance,chronic,M & F,20 to 50,514,microarray,up,,1.9,0.6,,"Timmons et al., 2010"
ENSG00000004776,HSPB6,"heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:HGNC:26511]",protein_coding,19,q13.12,-1,35754568,35758079,endurance; endurance,"chronic,chronic",M & F; M & F,20 to 50;26 to 28,514;23,"microarray,RNA-Seq","up, up",,1.5; 1.21,0.3; <0.01,<0.01,"Timmons et al., 2010; Lindholm et al., 2014"
ENSG00000004779,NDUFAB1,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:HGNC:7694]",protein_coding,16,p12.2,-1,23581002,23596356,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.25,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000004799,PDK4,"pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:HGNC:8812]",protein_coding,7,q21.3,-1,95583499,95596491,"resistance, endurance","acute, acute","M & F, M",23 to 25; 23 to 26,16; 10,"microarray, qPCR","up, up, up, up","down, down",3.46; -1.21; 2.12; -1.5; 10; 18,,<0.01; 0.08; <0.01; 0.02; <0.01,"Psilander et al., 2010; Liu et al., 2010"
ENSG00000004864,SLC25A13,"solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:HGNC:10983]",protein_coding,7,q21.3,-1,96120220,96322147,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.19,0.019,<0.01,"Lindholm et al., 2014"
ENSG00000004948,CALCR,calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440],protein_coding,7,q21.3,-1,93424487,93574730,"resistance, endurance",chronic,M,20 to 39,20,microarray,up,,1.35; 2.56,,0.03,"Stepto et al., 2009"
ENSG00000004961,HCCS,holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837],protein_coding,X,p22.2,1,11111301,11123078,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.16,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000005020,SKAP2,src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687],protein_coding,7,p15.2,-1,26667062,26995239,endurance,chronic,M & F,20 to 50,514,microarray,up,,2.3,2.3,,"Timmons et al., 2010"
ENSG00000005022,SLC25A5,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:HGNC:10991 ]",protein_coding,X,q24,1,119468400,119471319,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.25,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000005102,MEOX1,mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013],protein_coding,17,q21.31,-1,43640388,43661954,endurance; endurance; endurance,"chronic,chronic; chronic",M & F; M & F; M,20 to 50;26 to 28; 50 to 60,514;23; 17,"microarray,RNA-Seq; microarray","up, up, up",,1.6; 1.29; 1.79,0; <0.01; <0.01 ,<0.01; 0.04,"Timmons et al., 2010; Lindholm et al., 2014; Murkherjee et. Al.,2014"
ENSG00000005175,RPAP3,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151],protein_coding,12,q13.11,-1,47661249,47706061,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.23,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000005194,CIAPIN1,cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050],protein_coding,16,q21,-1,57428169,57447528,endurance,chronic,M & F,26 to 28,23,RNA-seq,up,,1.15,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000005249,PRKAR2B,"protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:HGNC:9392]",protein_coding,7,q22.3,1,107044649,107161811,endurance; resistance,chronic; acute,M & F; M,20 to 50; 20 to 29,514; 13,microarray; microarray,"up, up",,1.5,1.5,,"Timmons et al., 2010; Radom-Aizik et al., 2013"
ENSG00000005302,MSL3,male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:7370],protein_coding,X,p22.2,1,11758159,11775753,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.16,<0.01,<0.01,"Lindholm et al., 2014"
ENSG00000005339,CREBBP,CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348],protein_coding,16,p13.3,-1,3725054,3880726,endurance,chronic,M & F,26 to 28,23,RNA-seq,,down,-1.20,<0.01,<0.01,"Lindholm et al., 2014"
